OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,pct_house_lack_plumb,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
588,15000US230190030001,1238,164,273,52.7,49408.0,0.11531190926275993,0.1502808986653358,0.08286516842294218,0.0,49408.0,0.3256198341725292,0.07412587402220157,0.6541628539303176,0.0,0.05135951653873185,0.13141993937851973,0.11954765741555115,0.11735537170685062
589,15000US230190080012,1082,226,85,38.1,66563.0,0.23826714801444043,0.23674242379404845,0.0,0.0,66563.0,0.34739454008090687,0.03353658531473082,0.7557603677929028,0.018927444765098667,0.0,0.12460567803689956,0.18207024012747666,0.11910669945631092
590,15000US230190100003,864,177,152,32.6,65729.0,0.2081447963800905,0.1225490193074779,0.0,0.0,65729.0,0.3659217866873693,0.11656441693954107,0.6906779651261611,0.0,0.14583333299575618,0.24768518461183986,0.09404761893565759,0.1759776531397272
591,15000US230190080013,1972,276,343,47.5,46361.0,0.38673139158576053,0.025842696600176747,0.0,0.0,46361.0,0.4867358702575134,0.08287292810048533,0.6302959949911224,0.025100401581224497,0.011044176695738778,0.17971887532156738,0.09081632648427738,0.11418685107936927
592,15000US230190007002,1956,343,268,44.3,55972.0,0.10161290322580645,0.10251450667068228,0.025145067673940938,0.0,55972.0,0.22952586182163162,0.0821018061723302,0.7484848480312213,0.0017889087640528543,0.10822898022519768,0.12254025033762052,0.07194244600619606,0.08620689645882877
593,15000US230190313003,1786,342,111,38.3,34684.0,0.32388663967611336,0.01983002830052404,0.0,0.0,34684.0,0.2890173406228073,0.08066083568448898,0.6863130316396115,0.0,0.21881606742197032,0.11099365738795597,0.09630459121147558,0.23410404590447392
594,15000US230190245001,841,144,177,52.3,36136.0,0.5625,0.6110542470715924,0.5649948817144371,0.011258955976193495,36136.0,0.4210526304709141,0.16473988391693675,0.4907801411478296,0.10380622801451132,0.024221453203385975,0.11418685081596246,0.21046373340016203,0.16315789430747923
595,15000US230190313002,2829,722,355,37.1,70446.0,0.22019464720194648,0.16314454762202488,0.13863060005187605,0.0,70446.0,0.3686868683144577,0.08634020612993543,0.72455648892411,0.0,0.12764456972662583,0.11847672770206154,0.020884955744819484,0.19090909071625345
596,15000US230190140002,981,164,177,49.0,43438.0,0.4735202492211838,0.331606217043858,0.2176165799350318,0.010362694282620563,43438.0,0.40310077415219436,0.04312114980878614,0.584725536295077,0.0,0.07725321871834073,0.1695278966319144,0.12079831920084211,0.15503875928930552
597,15000US230270410002,2130,400,217,41.3,65579.0,0.16822429906542055,0.08198380558503664,0.03137651818686587,0.012145748975560982,65579.0,0.18853362713502356,0.013610888700071344,0.7281443876321803,0.0,0.08603896096912421,0.12012987003236211,0.05136663522555767,0.11025358311989682
598,15000US230270440003,1492,281,364,49.1,53958.0,0.20530973451327433,0.4282051278391409,0.3803418800168018,0.0,53958.0,0.4708520172334051,0.03611111106095679,0.5737051788257329,0.03602305470313681,0.07204610940627362,0.13256484130754345,0.1149966374478839,0.13153961116361793
599,15000US230190043004,1011,266,116,30.7,35913.0,0.10526315789473684,0.10869565193761815,0.0,0.0,35913.0,0.3560975601070791,0.15236427293806606,0.7664429519913517,0.0,0.18801652853715595,0.07024793373915716,0.18613861367709048,0.4341463404045211
600,15000US230190215002,722,107,90,49.6,48125.0,0.4789272030651341,0.24523809465419502,0.13333333301587302,0.0,48125.0,0.4258675065430047,0.13649025031618314,0.5689381924422533,0.051612903059313216,0.05806451594172737,0.09032258035379813,0.14127423803147612,0.18927444735244653
601,15000US230190150001,900,150,289,58.1,33177.0,0.5630630630630631,0.19624573345350557,0.0,0.0,33177.0,0.486199574339279,0.0,0.35509138334844464,0.05147058804606402,0.0,0.10294117609212804,0.3613348672481762,0.2505307850307202
602,15000US230079712003,1227,275,497,57.6,56607.0,0.14,0.011627906942942131,0.011627906942942131,0.0,56607.0,0.46176470452422147,0.055555555432098766,0.45871559586267524,0.028235294051211075,0.10352941152110727,0.15764705845259516,0.06677658691939276,0.26470588157439445
603,15000US230079714004,1400,299,137,41.5,37031.0,0.456575682382134,0.1975867267004725,0.08748114617272829,0.03921568621536096,37031.0,0.3101503753568602,0.18060606038714416,0.7136678194518444,0.04733727803648332,0.022189349079601555,0.13017751460032911,0.1106290671651272,0.2218045108612697
604,15000US230079701021,151,13,49,58.5,57857.0,0.12162162162162163,0.8996499406071763,0.8833138846169033,0.0023337222843247117,57857.0,0.49999999418604657,0.17499999781250003,0.5797101407267381,0.03030302984389349,0.22727272382920116,0.0,0.05960264861190299,0.0697674410492158
605,15000US230079701011,1397,266,262,49.2,43676.0,0.2651821862348178,0.452157598074899,0.38461538425458214,0.0,43676.0,0.43150684857618693,0.0954773868147269,0.6683459272306079,0.05138888881751543,0.12361111093942902,0.14444444424382716,0.12097351458770685,0.10273972585147308
606,15000US230079710002,1341,369,184,39.5,34242.0,0.4529262086513995,0.29215116236605937,0.23401162756684357,0.007267441849901974,34242.0,0.4004106767958713,0.08269525255329976,0.6465346528252132,0.026711185264255116,0.10183639381997263,0.12186978276816397,0.11036539887370216,0.21355236095779803
607,15000US230079712005,1580,130,300,26.1,19853.0,0.22535211267605634,0.15659340637830577,0.05906593398479954,0.0,19853.0,0.3175895760299844,0.0950173811181722,0.6103448271652794,0.01920614594211761,0.17669654266748203,0.07938540322741945,0.21047619027573694,0.20521172605014376
608,15000US230079714002,699,185,186,49.6,56029.0,0.29015544041450775,0.0,0.0,0.0,56029.0,0.5185185161179698,0.0,0.640151513939107,0.0,0.11242603517033717,0.16863905275550575,0.0028612303249481684,0.0
609,15000US230079712002,1872,150,272,29.9,24953.0,0.30740037950664134,0.1564927856198748,0.0,0.04772475022450083,24953.0,0.3197368416845568,0.06032906758653649,0.6251428567856326,0.009727626449681297,0.2208171204077654,0.15953307377477327,0.18617385339755382,0.14473684191481995
610,15000US230079706011,673,96,176,57.7,45341.0,0.0622568093385214,0.7729805008544703,0.7346796652265462,0.006963788295986219,45341.0,0.3987730049117392,0.04333333318888889,0.5199306750087856,0.0313588849081572,0.16027874508613676,0.19163762999429398,0.12927191659840725,0.0613496930633445
611,15000US230079713003,951,208,131,47.7,34412.0,0.5136986301369864,0.20467836217411625,0.20467836217411625,0.013645224144941084,34412.0,0.2598039209318531,0.0756501180244678,0.5444015437008989,0.0,0.0971867005187041,0.17391304303347047,0.16719242884627505,0.25245097977340447
612,15000US230079712004,1726,422,346,40.6,37857.0,0.1503267973856209,0.16601307167841428,0.0,0.0,37857.0,0.38244514046638695,0.06486486477720964,0.5485544843969202,0.0,0.14017341020206156,0.11127167613978081,0.38920276183979735,0.36990595553306277
613,15000US230079714001,2149,460,303,39.0,65446.0,0.43452380952380953,0.19791666643759645,0.119212962824985,0.0,65446.0,0.3535353530252015,0.044612794575241754,0.7033747775586887,0.046696035201148865,0.08458149772283567,0.13568281926371556,0.049325267543357254,0.059163059077686785
614,15000US230079712001,1262,105,148,36.0,44091.0,0.5184275184275184,0.0,0.0,0.0,44091.0,0.2581168826978622,0.0734939758150675,0.7173725145052959,0.08322496738202215,0.05981794530582842,0.06371911565186071,0.24405705210455064,0.2191558438000717
615,15000US230079713002,1570,468,285,41.4,36833.0,0.39111111111111113,0.11692307674319527,0.0784615383408284,0.0,36833.0,0.4268292675490779,0.09409888342248982,0.5524229070022705,0.0,0.07042253508728427,0.09683098574501588,0.21592356674144994,0.22125435501523633
616,15000US230079711002,1346,267,227,44.8,43669.0,0.3485838779956427,0.2268041233773135,0.12223858597608456,0.03240058905390193,43669.0,0.36761904691882086,0.051047120352032564,0.6919602523107856,0.01517241377217598,0.04827586200237812,0.16965517217978596,0.0881913302778839,0.18285714250884355
617,15000US230079710001,1224,261,174,48.0,41848.0,0.390745501285347,0.29251700640473877,0.24625850306631497,0.029931972748391874,41848.0,0.3384615378106509,0.0540958268097437,0.6418650787283084,0.04084967313586655,0.10457516322781836,0.12908496710933828,0.1491803277465735,0.2096153842122781
618,15000US230079713001,1547,335,213,38.0,37404.0,0.29978118161925604,0.2347600515761867,0.17898832661609815,0.0,37404.0,0.32542372826199367,0.13683010246655633,0.6960317454793398,0.0,0.03434610299293778,0.14002641989428477,0.20931758516448976,0.20677966066647516
619,15000US230079714003,579,30,160,58.3,48125.0,0.25112107623318386,0.2682291659681532,0.0,0.0,48125.0,0.5302491084332772,0.10746268624638004,0.6102003631872489,0.0,0.07692307666580911,0.04347826072415297,0.055267702840643,0.17081850473018326
620,15000US230079711001,1464,286,228,45.8,37805.0,0.4226415094339623,0.3176206505975077,0.2581369245138755,0.011223344544081543,37805.0,0.4029605256530254,0.10851648336742241,0.5991769542393605,0.016949152516257084,0.07395993825275818,0.09553158690981266,0.1311475408940249,0.2072368417644131
621,15000US230079706022,1437,311,298,47.6,42708.0,0.4745011086474501,0.5332717185459596,0.4759704246987334,0.007393715335125955,42708.0,0.5108910880972454,0.13698630110178805,0.4378748925125322,0.0793650791851132,0.11791383193216819,0.07029478442110026,0.22175438580929516,0.2712871281756691
622,15000US230079710003,654,133,98,51.1,32750.0,0.2863070539419087,0.425263156999446,0.3663157887024931,0.01684210522770083,32750.0,0.43956043795032806,0.04301075253401164,0.532442747075491,0.1910112352396583,0.056179775070487735,0.04494382005639019,0.15290519854295842,0.16117216058178696
623,15000US230079710004,950,156,148,48.9,39342.0,0.41139240506329117,0.3977455710181231,0.3413848625742595,0.030595813155240237,39342.0,0.4545454533300924,0.07922912188601901,0.566060605374472,0.0558139533585722,0.023255813899405085,0.20465116231476474,0.09999999989473685,0.2540106945079928
624,15000US230159751001,433,88,81,49.9,39643.0,0.33548387096774196,0.3188405785549254,0.2463768107015333,0.010869565178008822,39643.0,0.4627659549852875,0.06358381466136523,0.47658402072566386,0.0,0.12962962882944673,0.1543209867017223,0.19431279574807395,0.26595744539384336
625,15000US230159753001,923,158,235,51.3,51571.0,0.1685082872928177,0.3991163469821556,0.34462444720968416,0.0,51571.0,0.3627450971501346,0.07692307677875596,0.6721311466934033,0.09552845509038932,0.04268292674251438,0.06707317059537973,0.0848748638902341,0.051470588109140715
626,15000US230159754001,650,117,107,48.3,61518.0,0.11673151750972763,0.16139240455255568,0.06645569599222881,0.0,61518.0,0.27924528196511217,0.06406685218922882,0.6672862441128509,0.044642857009991495,0.11904761869331065,0.07142857121598639,0.14307692285680473,0.06415094315414739
627,15000US230159754003,1154,237,256,49.9,54830.0,0.112,0.34016393396152467,0.18579234947296128,0.013661202167129505,54830.0,0.4202898542022984,0.06944444432388118,0.601880877114022,0.041044776042826914,0.13619402959665294,0.12126865649017042,0.10485268621763198,0.10973084863409763
628,15000US230159755001,1740,393,293,46.9,53594.0,0.2616822429906542,0.13333333318007662,0.09195402288281147,0.011494252860351434,53594.0,0.33819628602361235,0.048806941378734335,0.6574271494972088,0.03306727476275111,0.0410490307399669,0.13911060417433227,0.07528735627857049,0.1047745356700603
629,15000US230010106001,898,194,113,38.8,32000.0,0.22596153846153846,0.12227074209111191,0.0,0.0,32000.0,0.2412935317380758,0.22867513570113407,0.7436582099550625,0.0,0.04941176458961938,0.09882352917923876,0.14142538959752185,0.35323382996708
630,15000US230110230021,1321,261,280,44.3,43438.0,0.18663594470046083,0.07116788308181043,0.03284671526852789,0.0,43438.0,0.45383104036575433,0.04166666660680077,0.6498599433708123,0.0,0.07346326825567726,0.24137930998293958,0.0341685648943291,0.09430255384223467
631,15000US230310061013,751,158,203,42.9,65109.0,0.0,0.6690500503891215,0.5934627164520299,0.0,65109.0,0.46604938127762535,0.08098591520779608,0.47892074118225847,0.0,0.08045976980666755,0.11494252829523936,0.0,0.0
632,15000US230310061014,354,34,153,62.5,25750.0,0.0975609756097561,0.36666666564814815,0.2333333326851852,0.0,25750.0,0.6710526286357341,0.0,0.3906249987792969,0.0,0.13599999891200001,0.07199999942400001,0.0,0.16666666593567253
633,15000US230010108001,1461,360,267,41.5,52722.0,0.09561752988047809,0.11553784845214098,0.03187250991783199,0.014608233712339663,52722.0,0.31381381334262193,0.09408602137891664,0.6397248489770208,0.06973293758199861,0.05489614235178614,0.18100890180859214,0.09993155366192227,0.1996996993998503
634,15000US230010205001,1184,178,170,40.7,39102.0,0.029900332225913623,0.062499999899839745,0.0,0.0,39102.0,0.2581196576784279,0.07038123156835596,0.668627450324875,0.0,0.04574132484898845,0.13564668748320713,0.19087837821716352,0.19999999965811965
635,15000US230310360012,998,168,165,47.1,76378.0,0.0,0.7587968213627714,0.6549375705704099,0.0,76378.0,0.34588235212733565,0.06156405979773035,0.697215776453346,0.0,0.19680851028934662,0.13829787209521655,0.056112224392673125,0.0
636,15000US230310360014,1640,212,541,52.0,48177.0,0.027700831024930747,0.34766214151760017,0.23831070871922266,0.0444947209317536,48177.0,0.48439306302382307,0.08399545960953977,0.6001362393732042,0.055762081715288625,0.021065675314664592,0.07682775702995322,0.10487804871653776,0.10982658946840856
637,15000US230050013003,1267,88,168,40.2,31455.0,0.0625,0.036144578269705324,0.036144578269705324,0.0,31455.0,0.197499999753125,0.06045340042764055,0.6700421935273905,0.0,0.2091152812210251,0.09249329746314572,0.22020520898168489,0.2062499997421875
638,15000US230050173041,1945,296,451,52.6,64792.0,0.04130808950086059,0.17451820109794625,0.17451820109794625,0.0,64792.0,0.39818417587784155,0.011363636353703114,0.6726744182135613,0.0,0.06631299728884792,0.2979664011512233,0.05192802053885449,0.0
639,15000US230050173043,825,73,323,55.9,53880.0,0.0,0.0,0.0,0.0,53880.0,0.4092140910319401,0.07349081345540469,0.5053050391176326,0.0,0.14730878145238305,0.13597733672527668,0.12863070521627842,0.0243902438363408
640,15000US230050171011,903,164,266,54.8,71786.0,0.012269938650306749,0.286231883539435,0.2572463763455682,0.0,71786.0,0.4670050749568399,0.0,0.5986842097385734,0.04615384605240913,0.12747252719236807,0.08131868113995894,0.0653377629398253,0.0
641,15000US230050171012,929,99,309,59.9,51438.0,0.12028301886792453,0.5305498976267312,0.38492871651229255,0.0,51438.0,0.49240780804249934,0.0073170731528851875,0.48926014261424805,0.022113022058690365,0.02948402941158715,0.09828009803862384,0.05211726378706052,0.03687635566838101
642,15000US230110130003,1539,394,215,40.9,64375.0,0.13968957871396895,0.2567934779119654,0.1603260867386874,0.025815217356229325,64375.0,0.3363802553265443,0.06838709668595214,0.6479933104949888,0.012465373943953776,0.18698060915930664,0.09556786690364562,0.1280051980974625,0.17001828122482948
643,15000US230110140004,557,66,81,51.1,115474.0,0.10309278350515463,0.14682539624275637,0.0,0.0,115474.0,0.33953488214169825,0.117816091615471,0.6850393687302375,0.0,0.0,0.20521172571592272,0.0215439855986643,0.05581395322877231
644,15000US230039502004,828,202,109,39.6,30147.0,0.7544642857142857,0.10179640688084908,0.04790419147334075,0.0,30147.0,0.3599999988,0.03272727260826446,0.43307086545973095,0.015037593928430099,0.03383458633896772,0.08646616508847306,0.224514562834327,0.33666666554444447
645,15000US230039518001,1371,373,172,34.3,26391.0,0.6767241379310345,0.08523592072262418,0.0,0.0,26391.0,0.29284525741623085,0.03416149063018402,0.6295210160024233,0.01607717039215889,0.09003215419608979,0.18649517654904313,0.3646973009739626,0.2828618963679503
646,15000US230039513001,1346,339,171,39.8,50208.0,0.3448275862068966,0.014705882325908304,0.014705882325908304,0.0,50208.0,0.2947761188530296,0.012461059170621402,0.6173076917141271,0.028391167147648,0.05520504723153778,0.23659305956373333,0.12895752885794784,0.2593283577251337
647,15000US230039519001,1141,134,168,46.8,55871.0,0.34411764705882353,0.077064220042084,0.0,0.047706421930813904,55871.0,0.3041749496934892,0.04961832054755939,0.7495291895013849,0.0749665326975013,0.11780455138178775,0.1164658632979038,0.07186678346023945,0.06958250483184393
648,15000US230039529004,464,46,155,56.9,41484.0,0.5490196078431373,0.5379464273706553,0.49553571317960776,0.06919642841697225,41484.0,0.5458937171695956,0.09248554859834943,0.3958810059590824,0.22929936159681935,0.0,0.16560509448659175,0.1400862065946418,0.14009661768069268
649,15000US230039507004,78,0,38,58.0,43633.0,1.0,0.8783382763254057,0.8783382763254057,0.017804154249839305,43633.0,0.8536585157644265,0.0,0.07692307593688365,0.9999998333333611,0.0,0.0,0.0,0.0
650,15000US230039529002,530,88,134,52.5,38988.0,0.44549763033175355,0.7089743580654175,0.6410256402038133,0.005128205121630506,38988.0,0.4229074871237556,0.10891089054994608,0.4429824551688981,0.08888888839506173,0.05555555524691358,0.08333333287037037,0.11320754695621217,0.1629955939956141
