OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
641,15000US230310210001,1525,378,195,,57270.0,0.15644820295983086,0.06797583071302744,0.06797583071302744,57270.0,0.3063209071210358,0.09101123585279637,0.7646048103396865,0.0,0.050679851606081766,0.12608158204439854,0.0847682118643919,0.1150729333629288
642,15000US230310280024,2381,324,677,,75667.0,0.0,0.13496932504987014,0.0506134968937013,75667.0,0.4512411343517365,0.024229074872078503,0.6621293142138409,0.0,0.19864559804466092,0.09480812633949727,0.056676685248314006,0.05496453895836476
643,15000US230310280025,1758,277,603,,65867.0,0.039603960396039604,0.24528301862434657,0.24528301862434657,65867.0,0.5065789467018698,0.07829977619876982,0.5952063910817533,0.0,0.16019417456287116,0.05339805818762371,0.012470308781193403,0.08421052620498615
644,15000US230310270003,966,167,249,54.0,72083.0,0.0,0.49757281493013006,0.43203883442713736,72083.0,0.4468599023022708,0.03305785117136808,0.5931372541750769,0.0,0.034188034114982835,0.11538461513806707,0.01759834366708246,0.0
645,15000US230310302031,926,368,96,,40306.0,0.09166666666666666,0.34962405949318787,0.030075187913392504,40306.0,0.3294797678338735,0.0,0.6254480275529605,0.0,0.15186246374824508,0.11747850969203866,0.19006479461116113,0.33526011463797656
646,15000US230310302032,2604,541,482,42.0,48281.0,0.06306306306306306,0.05645161285264192,0.04659498203710127,48281.0,0.35327635294085813,0.07547169806046701,0.6765536719978561,0.0,0.09674981096239621,0.17611489026748683,0.06804849430267951,0.21462488108772565
647,15000US230310302033,799,264,45,,59219.0,0.0,0.0,0.0,59219.0,0.12457912415966625,0.0,0.7794871781547228,0.0,0.07456140334526008,0.041666666575292395,0.026282853534064014,0.0
648,15000US230310310001,1833,431,172,,39397.0,0.3442340791738382,0.0,0.0,39397.0,0.21159029621079475,0.07574206747621078,0.6700960214882743,0.0,0.06976744178320328,0.11074197108444965,0.1931260228078963,0.14016172487848824
649,15000US230310310003,2408,471,335,42.0,62045.0,0.2225,0.15004659818262198,0.04566635596862408,62045.0,0.28837719266625306,0.07967237521990142,0.6859039833064842,0.010517799344241262,0.07928802582581874,0.13025889957098793,0.08222591358711549,0.27741228039757426
650,15000US230310310002,1783,458,216,,60607.0,0.11323763955342903,0.23268398243216018,0.19155844135112723,60607.0,0.19322990099685486,0.025406504039221033,0.713156002362936,0.012513034397796627,0.05526590192360177,0.060479666256017035,0.06618059446652799,0.029619181904627388
651,15000US230310252012,1128,134,260,,33977.0,0.0,0.0691927511215935,0.0,33977.0,0.4212389373075417,0.020522388021413457,0.5392354119323587,0.0,0.0723809522430839,0.19047619011337868,0.11700182804661623,0.14513274310595975
652,15000US230310230002,1546,397,89,,56506.0,0.050397877984084884,0.22358346060706974,0.16232771797499584,56506.0,0.15187376695882887,0.1991570071663256,0.7994945233365673,0.021052631551246537,0.021052631551246537,0.2315789470637119,0.13133940173514994,0.23076923031406463
653,15000US230310230001,1329,412,83,35.0,64569.0,0.16055045871559634,0.4002642002638518,0.33817701408431045,64569.0,0.22907488936327117,0.14423076903265003,0.7623036641232422,0.025682182944330365,0.09630818604123886,0.13483146045773442,0.03981264633894407,0.1233480173494537
654,15000US230310220001,1748,368,273,,62361.0,0.1006036217303823,0.2845238091850907,0.19404761881660998,62361.0,0.3211314470530259,0.03975535164143185,0.6952515941210122,0.0,0.039278131593123,0.1698513798621535,0.03723094820405413,0.12479201310350746
655,15000US230310220002,1963,454,138,,58317.0,0.13578500707213578,0.09002433079072465,0.06204379554495889,58317.0,0.14171122975707054,0.1174021647648608,0.7427334565598432,0.018867924510501954,0.02264150941260235,0.15188679230954075,0.030056036663241956,0.15775401048428608
656,15000US230310245004,960,204,214,,61250.0,0.07344632768361582,0.24806201502313563,0.18604651126735172,61250.0,0.3891752567289298,0.12866817126711474,0.5753246745775005,0.0,0.0,0.29792746036806356,0.037527593777563366,0.19587628815495803
657,15000US230310245003,1930,529,180,,60242.0,0.048589341692789965,0.06719367580079885,0.04479578386719923,60242.0,0.19774011271505634,0.04041272567462362,0.8127183781881772,0.017025089590479308,0.08602150529926388,0.14695340488624245,0.05388601033477408,0.15819209017204508
658,15000US230310235001,1354,264,236,,39833.0,0.08078602620087336,0.46616541309570914,0.39097744324156253,39833.0,0.3749999993397887,0.10654490090328021,0.5860838531792293,0.022146507628370515,0.09199318553323137,0.12265758071097516,0.12776957154522187,0.14436619692893277
659,15000US230310235002,1159,140,358,,56198.0,0.07926829268292683,0.6258941340301186,0.5758226033077091,56198.0,0.5124282972993723,0.0718038527639162,0.5453677167666019,0.0,0.0641509432751869,0.1283018865503738,0.06719022681746052,0.08604206484504386
660,15000US230310330001,1745,417,195,,75250.0,0.011608623548922056,0.107883817278169,0.09543568451530333,75250.0,0.2728682166312121,0.02696871626001217,0.6917910442598574,0.0,0.018847006630990013,0.1507760530479201,0.09681159414677588,0.04186046505137912
661,15000US230310061021,972,125,95,,38324.0,0.0873015873015873,0.5278330014633866,0.4294234588176705,38324.0,0.16842105227700832,0.0697674417252569,0.56828193770013,0.0,0.17916666629340278,0.08541666648871528,0.16358024674528782,0.19368421011855955
662,15000US230310061011,1880,269,383,49.0,48795.0,0.3955901426718547,0.2189597313599331,0.1476510065875411,48795.0,0.29430719624671625,0.016949152526413224,0.6491442538819411,0.0,0.14463601518713023,0.15708812245489642,0.10159574462681077,0.1084854993464173
663,15000US230310225002,917,206,99,,50221.0,0.04897959183673469,0.4838709670632946,0.35764375826417427,50221.0,0.2608695645085066,0.11439842186509187,0.694293477317536,0.022271714872446068,0.07349665907907203,0.10467705990049653,0.14656144290128362,0.27717391229028826
664,15000US230310225003,577,88,90,,49375.0,0.2374429223744292,0.33505154552821764,0.29381443223243703,49375.0,0.3023255802235443,0.09863013671608181,0.7285429127174792,0.07294832804574976,0.0881458963886143,0.06686930070860395,0.1802426340030457,0.18604651090679647
665,15000US230310051002,2100,573,183,,73648.0,0.015105740181268883,0.0,0.0,73648.0,0.22364672332813856,0.049334377408508705,0.7415795582220792,0.0,0.06919275117858915,0.1334431629872791,0.11837708824898469,0.042735042674166605
666,15000US230310052001,1976,442,231,,58304.0,0.0,0.18944636661812597,0.02681660897334203,58304.0,0.22518676603501947,0.027522935756861603,0.7816166878868209,0.0,0.023156089173965617,0.18181818166224853,0.0875506072431424,0.0704375666270677
667,15000US230310053002,1271,110,75,,43771.0,0.0,0.10542635642569557,0.0,43771.0,0.10918544175184498,0.055944055888167775,0.828642383419998,0.011640211627893957,0.09206349196607037,0.15026455010554016,0.16365066863599473,0.20623916775348497
668,15000US230099652002,852,96,87,,50357.0,0.20918367346938777,0.6241258735803095,0.5795454540388588,50357.0,0.27441860401298,0.06324110659438517,0.66404199387921,0.021097046368993573,0.04008438810108779,0.177215189499546,0.06572769945337124,0.10697674393726339
669,15000US230099655041,1719,324,277,,57500.0,0.19722650231124808,0.42753095380369194,0.4115076471875399,57500.0,0.26590330754974134,0.034383954121887335,0.7277739484991219,0.0,0.0,0.17408506412058847,0.07953216369618002,0.03816793888273799
670,15000US230099655042,2388,426,512,,56442.0,0.10972850678733032,0.1582417581258302,0.09304029297213165,56442.0,0.30287206239958914,0.07428170982881449,0.6974584551820828,0.0060560181634700845,0.03028009081735042,0.13928841775981193,0.09756097556726438,0.11749347248259923
671,15000US230099663002,1736,342,277,,54929.0,0.1408695652173913,0.3903654481807596,0.3363787372621439,54929.0,0.3269754763937664,0.055999999944,0.6882312452248924,0.01694915252441827,0.06144067790101623,0.1313559320642416,0.10195852528689024,0.12806539492089183
672,15000US230099657002,1416,222,261,,48333.0,0.17037037037037037,0.4731543620191658,0.39765100637780953,48333.0,0.4347133751039596,0.08885941632777265,0.6215993399657054,0.029112081471452573,0.14847161550440813,0.18631732141729648,0.18432203376813414,0.16242038190697392
673,15000US230099660002,1036,116,408,,52875.0,0.08436724565756824,0.5358024686948127,0.4781893000179511,52875.0,0.42907801342362056,0.008460236872317704,0.6375404523866878,0.06996587018777155,0.19624573345350557,0.04778156988433179,0.043436293394366506,0.04078014177166642
674,15000US230099666003,1079,168,320,,38561.0,0.296195652173913,0.5983673464503123,0.4897959179675135,38561.0,0.5060975599469562,0.07575757556626875,0.46951871607538104,0.25136611953178656,0.1448087427737466,0.13934426191435995,0.11717974169098337,0.13821138183290368
675,15000US230099665003,983,164,284,53.0,62000.0,0.16893732970027248,0.5320512814828512,0.45192307644025315,62000.0,0.4132420081889452,0.035940803306679064,0.5726392244883303,0.1140350874692213,0.03947368412396122,0.10745614011522776,0.05816326524677218,0.08904109568712079
676,15000US230310061015,1509,350,132,,84125.0,0.064343163538874,0.22944297051798015,0.22944297051798015,84125.0,0.20481927675590486,0.02735562307258802,0.8308080801087473,0.0,0.13854166652235242,0.12083333320746528,0.055003313416167446,0.022375215107787925
677,15000US230310061012,813,122,222,,62969.0,0.0,0.0,0.0,62969.0,0.40389294305622153,0.16075650080199408,0.5916083907809673,0.0,0.09014084481650467,0.10985915462011506,0.03690036895830213,0.05839416044186336
