OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_poverty
652,15000US230050010001,1533,174,122,28.9,28750.0,0.0,0.11201866964758615,0.05484247368163072,28750.0,0.10643889604935756,0.27332028684062604
653,15000US230050010002,1238,57,85,31.9,35286.0,0.0,0.1588888887123457,0.028888888856790123,35286.0,0.16644649911962153,0.21324717268719937
654,15000US230050011003,775,34,226,54.1,23182.0,0.0,0.19650654993230487,0.12227074218010081,23182.0,0.2554347821459515,0.1858156025733112
655,15000US230050011001,726,54,39,32.2,50417.0,0.0,0.05472636802306874,0.0,50417.0,0.1368421049030471,0.12534435244442926
656,15000US230050011002,761,0,163,33.6,24444.0,0.0,0.050909090816528925,0.0,24444.0,0.308429118183086,0.30354796280742713
657,15000US230050012002,556,23,30,29.3,40762.0,0.0,0.1246882789908023,0.027431421377976505,40762.0,0.10256410227189715,0.14028776953185654
658,15000US230050012001,807,225,10,33.8,24707.0,0.0,0.0,0.0,24707.0,0.15850144046541373,0.34200743452043686
659,15000US230050013002,1756,434,77,29.3,37946.0,0.0,0.1434159059407876,0.006518904815490346,37946.0,0.11111111094199222,0.20189274435211813
660,15000US230050015002,1458,397,175,34.5,53304.0,0.03353658536585366,0.09323308256656679,0.046616541283283394,53304.0,0.2802653395020475,0.15294924543693467
661,15000US230050015001,1027,135,101,33.8,38152.0,0.0,0.050335570385343004,0.0,38152.0,0.22791519394361273,0.16650438153212815
662,15000US230050015003,921,96,80,36.1,45391.0,0.14093959731543623,0.12499999975585938,0.0,45391.0,0.18303571387715242,0.12269272516537164
663,15000US230110220002,1796,460,165,36.7,40764.0,0.343042071197411,0.010028653280761243,0.0,40764.0,0.2850940661576063,0.21492204887810576
664,15000US230110106001,1989,365,327,46.7,62292.0,0.21601208459214502,0.0796915166070803,0.07069408731273254,62292.0,0.32960893808713837,0.039183222936433094
665,15000US230110106002,713,207,59,37.8,43824.0,0.3201581027667984,0.05333333315555556,0.0,43824.0,0.2605633793642135,0.1586402264041923
666,15000US230110200001,1097,187,165,48.4,54020.0,0.08373205741626795,0.4510010532655416,0.32033719671197347,54020.0,0.31477927002921446,0.0847766635507961
667,15000US230110200003,2045,497,146,43.3,52955.0,0.3407202216066482,0.0911016948187482,0.04343220334382182,52955.0,0.24125874097755393,0.04743276281299131
668,15000US230110200002,1174,399,72,38.0,54954.0,0.2596401028277635,0.0,0.0,54954.0,0.19746835393045986,0.09454855187857873
669,15000US230110210002,2378,658,306,39.0,40250.0,0.397796817625459,0.061046511568753375,0.025193798425199806,40250.0,0.3003095972133028,0.15313028758327824
670,15000US230110210001,1114,246,279,44.2,31426.0,0.6372795969773299,0.10902896063197792,0.0,31426.0,0.32313575464027583,0.09082652126173793
671,15000US230110107003,596,97,206,54.8,54180.0,0.07421875,0.01977401124357624,0.0,54180.0,0.44092218893106,0.05872483211623351
672,15000US230010103002,1477,388,168,29.9,22864.0,0.10030395136778116,0.09397590350123385,0.008433734929597909,22864.0,0.22606382948661724,0.14082599855055788
673,15000US230010302003,776,130,60,42.6,55625.0,0.29042904290429045,0.10410958875586414,0.0,55625.0,0.18042813400480692,0.05283505147830535
674,15000US230010465002,1282,162,302,44.8,65972.0,0.19557195571955718,0.07575757552800735,0.0,65972.0,0.3508196709809191,0.20062942549124355
675,15000US230010105002,1192,332,234,39.8,23977.0,0.07954545454545454,0.06732348100603698,0.0,23977.0,0.33274647828741816,0.142617449544784
676,15000US230010107002,2211,441,261,41.4,60500.0,0.09403973509933775,0.027079303648859472,0.0,60500.0,0.23359840931053835,0.013116236990901748
677,15000US230010102002,1663,458,203,35.6,35618.0,0.1048951048951049,0.0,0.0,35618.0,0.35851648302401584,0.20024052904375192
678,15000US230010104001,1805,400,519,48.3,54571.0,0.07707910750507099,0.09032258049947971,0.0,54571.0,0.2960992902551431,0.015939015927970188
679,15000US230010101002,755,145,151,45.2,30636.0,0.05755395683453238,0.198581559931593,0.0,30636.0,0.43584070700035243,0.16556291368799614
680,15000US230139707003,2369,688,461,31.9,25722.0,0.1814516129032258,0.036757775648673156,0.0,25722.0,0.3649706454354495,0.40699734260097553
681,15000US230139707002,743,26,185,54.0,21813.0,0.20192307692307693,0.11181434575566594,0.11181434575566594,21813.0,0.5843230389921068,0.1816958274808939
682,15000US230139705002,491,137,74,43.7,49559.0,0.0,0.616842103964543,0.39578947285096955,49559.0,0.2582417568228475,0.3869653759939605
683,15000US230139705003,1428,371,65,35.6,59931.0,0.0345679012345679,0.17675159207523633,0.0764331208973995,59931.0,0.17794970952040676,0.025910364127513748
684,15000US230139709002,860,166,180,51.0,47031.0,0.07191780821917808,0.3416149061250209,0.32091097242047417,47031.0,0.4433962250207666,0.2538190361294723
685,15000US230139709003,1088,129,434,55.5,37404.0,0.02748414376321353,0.25899280538274416,0.19136690619947208,37404.0,0.607766989111132,0.10294117637597318
686,15000US230139708003,1000,193,161,44.1,53971.0,0.14488636363636365,0.07021791750552563,0.01694915250133377,53971.0,0.4010416656222873,0.045999999954
687,15000US230139703005,727,145,118,46.3,44018.0,0.15862068965517243,0.27564102505204907,0.23290598240832056,44018.0,0.33038347985137617,0.034387895413496704
